_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,state,validoorig,valororig
5cccf5bee2705c1932820582,21.883780555556,-102.295825,33,Centro,CEN,30,5cccec88e2705c19326823a7,Aguascalientes,2018-01-30T00:00:00.000Z,33,2018-01-30,0,33SO218013000,SO2,Aguascalientes,1,1.2198
5cccf5bee2705c193282058a,32.4975,-116.97694444444,47,La Mesa,SPABC03,35,5cccecb5e2705c19326dd2e9,Tijuana,2018-01-30T00:00:00.000Z,47,2018-01-30,0,47SO218013000,SO2,Baja California,1,3.148015e-06
5cccf5bee2705c193282058c,28.632775,-106.03886694444,53,SUR,SUR,38,5cccecbbe2705c19326e8097,Chihuahua,2018-01-30T00:00:00.000Z,53,2018-01-30,0,53SO218013000,SO2,Chihuahua -Estatal,1,0.0011
5cccf5bee2705c193282058d,28.652227777778,-106.08535833333,54,Centro,CEN,38,5cccecbfe2705c19326ef416,Chihuahua,2018-01-30T00:00:00.000Z,54,2018-01-30,0,54SO218013000,SO2,Chihuahua -Estatal,1,0.0101
5cccf5bee2705c1932820590,19.262127777778,-103.72403333333,57,Tecnologico,TEC,41,5ccceccde2705c1932704685,Colima,2018-01-30T00:00:00.000Z,57,2018-01-30,0,57SO218013000,SO2,Colima,1,0.0047354763888889
5cccf5bee2705c1932820593,24.026777777778,-104.692975,60,SRNyMA,SRN,42,5cccecdce2705c193271f8ca,Durango,2018-01-30T00:00:00.000Z,60,2018-01-30,0,60SO218013000,SO2,Durango,1,0.008778399999999999
5cccf5bee2705c1932820594,25.551222222222,-103.50252777778,65,Campestre,CAM,43,5cccece0e2705c1932726359,Gómez Palacio,2018-01-30T00:00:00.000Z,65,2018-01-30,0,65SO218013000,SO2,Durango,1,0.10828
5cccf5bee2705c1932820596,20.5175,-100.81555555556,68,Policía,POL,45,5cccece4e2705c193272e514,Celaya,2018-01-30T00:00:00.000Z,68,2018-01-30,0,68SO218013000,SO2,Guanajuato,1,0.00206
5cccf5bee2705c1932820599,20.6925,-101.365,71,Sec. Oficial,SEC,46,5cccecf2e2705c1932746f74,Irapuato,2018-01-30T00:00:00.000Z,71,2018-01-30,0,71SO218013000,SO2,Guanajuato,1,0.01045
5cccf5bee2705c193282059b,20.658055555556,-101.34888888889,73,Teódula,TEO,46,5cccecfee2705c193275c81c,Irapuato,2018-01-30T00:00:00.000Z,73,2018-01-30,0,73SO218013000,SO2,Guanajuato,1,0.010602
5cccf5bee2705c193282059c,21.103055555556,-101.63611111111,74,CICEG - Bomberos,CC,47,5ccced04e2705c19327673d9,León,2018-01-30T00:00:00.000Z,74,2018-01-30,0,74SO218013000,SO2,Guanajuato,1,0.004200199999999999
5cccf5bee2705c193282059e,21.108611111111,-101.68861111111,76,T21,T21,47,5ccced0fe2705c1932779ec0,León,2018-01-30T00:00:00.000Z,76,2018-01-30,0,76SO218013000,SO2,Guanajuato,1,0.004654
5cccf5bee2705c193282059f,20.578611111111,-101.19888888889,77,Cruz roja,CR,48,5ccced16e2705c1932786900,Salamanca,2018-01-30T00:00:00.000Z,77,2018-01-30,0,77SO218013000,SO2,Guanajuato,1,0.065968
5cccf5bee2705c19328205a0,20.558055555556,-101.20472222222,78,DIF,DIF,48,5ccced1ee2705c1932793e35,Salamanca,2018-01-30T00:00:00.000Z,78,2018-01-30,0,78SO218013000,SO2,Guanajuato,1,0.0056482
5cccf5bee2705c19328205a1,20.565,-101.18805555556,79,Nativitas,NAT,48,5ccced23e2705c193279ce79,Salamanca,2018-01-30T00:00:00.000Z,79,2018-01-30,0,79SO218013000,SO2,Guanajuato,1,0.001212
5cccf5bee2705c19328205a2,20.947777777778,-101.42583333333,80,Hospital General,HG,49,5ccced28e2705c19327a6a55,Silao,2018-01-30T00:00:00.000Z,80,2018-01-30,0,80SO218013000,SO2,Guanajuato,1,0.0034672
5cccf5bee2705c19328205a3,20.06,-99.221944444444,82,Centro de Salud,ATI,51,5ccced2fe2705c19327b338b,Atitalaquia,2018-01-30T00:00:00.000Z,82,2018-01-30,0,82SO218013000,SO2,Hidalgo,1,0.00170575888888889
5cccf5bee2705c19328205a4,20.006666666667,-99.218888888889,83,Primaria Revolución,ATO,52,5ccced37e2705c19327bfa1f,Atotonilco,2018-01-30T00:00:00.000Z,83,2018-01-30,0,83SO218013000,SO2,Hidalgo,1,0.00223965555555556
5cccf5bee2705c19328205a5,19.771694444444,-98.577694444444,84,Estación de Bomberos de Cd. Sahagún,TEP,53,5ccced3ee2705c19327cbe82,Tepeapulco,2018-01-30T00:00:00.000Z,84,2018-01-30,0,84SO218013000,SO2,Hidalgo,1,0.001
5cccf5bee2705c19328205a6,20.375111111111,-99.654444444444,85,Hospital,HUI,54,5ccced47e2705c19327d98c9,Huichapan,2018-01-30T00:00:00.000Z,85,2018-01-30,0,85SO218013000,SO2,Hidalgo,1,0.000319356060606061
5cccf5bee2705c19328205a7,20.505555555556,-99.580277777778,87,Primaria Melchor Ocampo,TPJ,56,5ccced4fe2705c19327e6ed4,Tepeji,2018-01-30T00:00:00.000Z,87,2018-01-30,0,87SO218013000,SO2,Hidalgo,1,0.00760171527777778
5cccf5bee2705c19328205a8,20.053777777778,-99.340055555556,90,Centro de Salud,CSA,58,5ccced55e2705c19327f2709,Tula,2018-01-30T00:00:00.000Z,90,2018-01-30,0,90SO218013000,SO2,Hidalgo,1,0.00102514138888889
5cccf5bee2705c19328205aa,20.077222222222,-98.777972222222,93,Museo del Rehilete,REH,59,5ccced64e2705c193280d6a7,Pachuca,2018-01-30T00:00:00.000Z,93,2018-01-30,0,93SO218013000,SO2,Hidalgo,1,0.00274979888888889
5cccf5bee2705c19328205ab,19.840583333333,-98.981333333333,96,Biblioteca,TIZ,60,5ccced6ce2705c1932819c42,Tizayuca,2018-01-30T00:00:00.000Z,96,2018-01-30,0,96SO218013000,SO2,Hidalgo,1,0.00286597777777778
5cccf5bee2705c19328205ad,20.673764722222,-103.33333611111,102,Centro ,CEN,63,5cccead0e2705c193235184c,Guadalajara,2018-01-30T00:00:00.000Z,102,2018-01-30,0,102SO218013000,SO2,Jalisco,1,0.0011052
5cccf5bee2705c19328205b1,20.614444444444,-103.34333333333,106,Miravalle,MIR,63,5ccceae7e2705c193237976c,Guadalajara,2018-01-30T00:00:00.000Z,106,2018-01-30,0,106SO218013000,SO2,Jalisco,1,0.0012471
5cccf5bee2705c19328205b2,20.700538611111,-103.29661666667,107,Oblatos,OBL,63,5ccceaede2705c19323841b8,Guadalajara,2018-01-30T00:00:00.000Z,107,2018-01-30,0,107SO218013000,SO2,Jalisco,1,0.0020604
5cccf5bee2705c19328205b3,20.529149444444,-103.37717944444,108,Santa Fe,SFE,63,5ccceaf4e2705c19323916ea,Guadalajara,2018-01-30T00:00:00.000Z,108,2018-01-30,0,108SO218013000,SO2,Jalisco,1,0.0016877
5cccf5bee2705c19328205b4,20.640966666667,-103.31259194444,109,Tlaquepaque,TLA,63,5ccceaf9e2705c193239ba71,Guadalajara,2018-01-30T00:00:00.000Z,109,2018-01-30,0,109SO218013000,SO2,Jalisco,1,0.0013802
5cccf5bee2705c19328205b5,20.680193055556,-103.39855138889,110,Vallarta,VAL,63,5ccceafee2705c19323a7553,Guadalajara,2018-01-30T00:00:00.000Z,110,2018-01-30,0,110SO218013000,SO2,Jalisco,1,0.0021786
5cccf5bee2705c19328205bb,19.260305555556,-99.645722222222,123,Ceboruco,CB,65,5ccceb04e2705c19323b333e,Toluca,2018-01-30T00:00:00.000Z,123,2018-01-30,0,123SO218013000,SO2,México,1,0.005
5cccf5bee2705c19328205bc,19.278083333333,-99.656416666667,124,Toluca Centro,CE,65,5ccceb0be2705c19323c1488,Toluca,2018-01-30T00:00:00.000Z,124,2018-01-30,0,124SO218013000,SO2,México,1,0.004
